Position,Track Name,Artist,Streams,Week,Month,Year,Artist Followers,Artist Genre,Artist Popularity,Track Popularity,Track Duration (ms),Album Name,Album Total Tracks,Album Released Date,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
50,Afterglow,Ed Sheeran,2543629,1,January,2021,29035650,canadian contemporary r&b,98,66,230461,The Highlights,18,2021-02-05,0.137,0.676,0.588,8.47e-06,7,0.137,-7.025,1,0.275,186.012,4,0.484
51,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2542175,1,January,2021,31225395,dfw rap,93,83,158040,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),13,2018-12-14,0.556,0.76,0.479,0.0,2,0.0703,-5.574,1,0.0466,89.911,4,0.913
52,Dynamite,BTS,2475139,1,January,2021,31225395,dfw rap,93,87,215280,Hollywood's Bleeding,17,2019-09-06,0.192,0.695,0.762,0.00244,0,0.0863,-3.497,1,0.0395,120.042,4,0.553
53,Dreams - 2004 Remaster,Fleetwood Mac,2410751,1,January,2021,4047638,country rap,83,89,154997,HOLIDAY,1,2020-11-13,0.12,0.81,0.511,0.0,5,0.0832,-6.924,0,0.164,151.947,4,0.837
54,On Me,Lil Baby,2386181,1,January,2021,1644805,modern rock,80,78,170858,Bang!,1,2020-02-12,0.0183,0.74,0.516,0.0,1,0.0558,-6.233,0,0.0507,139.918,4,0.698
55,Someone You Loved,Lewis Capaldi,2378101,1,January,2021,6241352,atl hip hop,93,82,135959,On Me,1,2020-12-04,0.00327,0.856,0.564,0.0,6,0.134,-6.295,0,0.392,77.972,4,0.483
56,Bang!,AJR,2373261,1,January,2021,1434127,contemporary country,92,77,190680,Dangerous: The Double Album,30,2021-01-08,0.723,0.532,0.584,0.0,8,0.101,-5.254,1,0.0248,88.003,4,0.367
57,Runnin,21 Savage,2354225,1,January,2021,6973545,pop,87,89,182160,Divinely Uninspired To A Hellish Extent,12,2019-05-17,0.751,0.501,0.405,0.0,1,0.105,-5.679,1,0.0319,109.891,4,0.446
58,Prisoner (feat. Dua Lipa),Miley Cyrus,2324251,1,January,2021,5509976,melodic rap,89,87,196652,Please Excuse Me For Being Antisocial,16,2019-12-06,0.104,0.896,0.586,0.0,10,0.79,-6.687,0,0.0559,116.971,4,0.642
59,Life Is Good (feat. Drake),Future,2278116,1,January,2021,2437394,alabama rap,75,79,135430,Opp Stoppa (feat. 21 Savage),1,2021-01-22,0.00734,0.829,0.343,0.0,2,0.179,-4.937,0,0.102,78.035,4,0.312
60,Roses - Imanbek Remix,SAINt JHN,2265566,1,January,2021,1434127,contemporary country,92,79,234346,If I Know Me,14,2018-04-27,0.369,0.614,0.68,1.84e-06,6,0.115,-4.58,1,0.0289,149.959,4,0.707
61,Daddy Issues,The Neighbourhood,2245101,1,January,2021,713745,deep underground hip hop,86,79,168906,Way Out (feat. Big Sean),1,2020-12-09,0.114,0.945,0.582,0.0,11,0.103,-8.357,0,0.0719,108.025,4,0.907
62,Martin & Gina,Polo G,2240324,1,January,2021,5508724,modern alternative rock,87,86,260173,Wiped Out!,11,2015-10-30,0.0678,0.588,0.521,0.149,10,0.123,-9.461,1,0.0329,85.012,4,0.337
