Position,Track Name,Artist,Streams,Week,Month,Year,Artist Followers,Artist Genre,Artist Popularity,Track Popularity,Track Duration (ms),Album Name,Album Total Tracks,Album Released Date,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
98,Jag Vil Ha Dig,Ringnes-Ronny,195671,1,January,2020,63978.0,russelater,71.0,60.0,192750.0,Jag Vil Ha Dig,1.0,2019-06-07,0.0724,0.817,0.622,1.08e-06,7.0,0.282,-8.078,1.0,0.0479,91.0,4.0,0.573
99,No Idea,Don Toliver,193923,1,January,2020,1264030.0,rap,87.0,81.0,154424.0,Heaven Or Hell,12.0,2020-03-13,0.524,0.652,0.631,0.000579,6.0,0.165,-5.718,0.0,0.0893,127.998,4.0,0.35
100,Falling,Harry Styles,189392,1,January,2020,12794127.0,pop,91.0,85.0,240133.0,Fine Line,12.0,2019-12-13,0.839,0.567,0.267,1.46e-06,4.0,0.089,-6.502,1.0,0.0299,110.011,4.0,0.0592
101,Starta vågen,Aden x Asme,189012,1,January,2020,48796.0,gothenburg hip hop,56.0,52.0,167520.0,Starta vågen,1.0,2019-09-20,0.0771,0.846,0.701,0.0,4.0,0.303,-6.809,0.0,0.1,129.89,4.0,0.785
102,Nr 1,Einár,188745,1,January,2020,161953.0,swedish gangsta rap,69.0,48.0,148312.0,NUMMER 1,7.0,2019-09-05,0.294,0.826,0.558,0.0,11.0,0.0612,-6.164,1.0,0.192,160.025,4.0,0.621
103,"Tough Love (feat. Agnes, Vargas & Lagola)",Avicii,187955,1,January,2020,19076982.0,dance pop,86.0,62.0,191248.0,TIM,12.0,2019-06-06,0.143,0.402,0.754,0.0,8.0,0.358,-4.837,1.0,0.0432,108.17,4.0,0.621
104,Kall,Ant Wan,186881,1,January,2020,70395.0,swedish gangsta rap,64.0,54.0,174250.0,Wow,5.0,2019-01-04,0.03,0.638,0.626,0.0106,6.0,0.156,-9.321,0.0,0.159,120.054,5.0,0.113
105,Happy Now,Kygo,186406,1,January,2020,7177597.0,edm,87.0,73.0,211362.0,Happy Now,1.0,2018-10-26,0.374,0.693,0.575,0.0,9.0,0.252,-6.998,1.0,0.0801,117.999,4.0,0.492
106,Forgive Me Friend (feat. Swedish Jam Factory),Smith & Thell,185439,1,January,2020,56444.0,swedish pop,67.0,53.0,216760.0,Hotel Walls,2.0,2019-07-19,0.0388,0.563,0.908,1.53e-06,1.0,0.355,-4.428,1.0,0.0319,127.932,4.0,0.67
107,Hotel Walls,Smith & Thell,183714,1,January,2020,56444.0,swedish pop,67.0,56.0,206293.0,Hotel Walls,2.0,2019-07-19,0.0108,0.525,0.687,1.84e-06,11.0,0.0885,-9.029,1.0,0.0448,141.84,4.0,0.307
