,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
106,Nr 1,Einár,173359,https://open.spotify.com/track/0pHeYnigEgjN0vbQhUwXqd
107,Lose Control,MEDUZA,171954,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
108,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,171539,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
109,Foreign,Unga Scener,170985,https://open.spotify.com/track/2B3WqjX1Z5jOS2a1dxanVM
110,Be Alright,Dean Lewis,170957,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
111,Nasty Thug,Dizzy,170258,https://open.spotify.com/track/7B0A4QjONMPH1sbRMyii5n
112,Fast Display,Mwuana,169693,https://open.spotify.com/track/36zEgZRE7A7i5bnJoiyF4h
113,Sweet but Psycho,Ava Max,169076,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
114,Min Nivå,Einár,168935,https://open.spotify.com/track/12qTfrg0Wp6zSnawQxaL4q
115,Forgive Me Friend (feat. Swedish Jam Factory),Smith & Thell,165961,https://open.spotify.com/track/6uYSfre2oDrvGBAWEcnr51
116,July,Noah Cyrus,165923,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
117,Solen har gått ner,Veronica Maggio,165791,https://open.spotify.com/track/10ylH6P7Lk02UVQbHSLSuJ
118,KAPABEL 2,Dree Low,164114,https://open.spotify.com/track/5hJ3tz6PVAEvPtu6NJbmC3
119,Sweettalk my Heart,Tove Lo,162727,https://open.spotify.com/track/4Cgedth1L3nBdVLU5Z42m1
120,Hon dansar vidare i livet,Hov1,162157,https://open.spotify.com/track/1aEU7mcRDTYBB4ASpqbjYE
121,Fyller,Z.E,159497,https://open.spotify.com/track/2DWQbOtXzKN6GHrtCPyZFY
122,Intro (feat. Duvchi),Lorentz,159147,https://open.spotify.com/track/6RwsXo7IdRlHNkBHXCvZdR
123,Ayy Macarena,Tyga,159016,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
124,BOP,DaBaby,156696,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
125,Defunkt,Albatraoz,156019,https://open.spotify.com/track/4iRBwAfhRmYi39lCkTRaqZ
126,bury a friend,Billie Eilish,155933,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
