,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
111,Mitten av september,Hov1,183786,https://open.spotify.com/track/7jjLKYImKi4sXsvPKwLoRq
112,I'm Just Feelin' (Du Du Du),Imanbek,183781,https://open.spotify.com/track/73ThEGwF5i9GrsXXGyZBRa
113,Axlar,Fricky,183158,https://open.spotify.com/track/7ojxSEruarwbBOw8RteTQ0
114,Det bästa kanske inte hänt än,Molly Sandén,182915,https://open.spotify.com/track/7Jtmca0gCNHj9OIvv6N1y3
115,Vilsna själar,Owen,181238,https://open.spotify.com/track/15YqYkW9SgA8p1h4cmYu4m
116,Savage,Megan Thee Stallion,180231,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
117,DANCE,CLMD,179663,https://open.spotify.com/track/6TfeXwJihJRuBW3mFpib6J
118,No Cap,Adel,178460,https://open.spotify.com/track/3G69nPByVZKPtgsesLKbx4
119,Au Revoir,Lov1,178113,https://open.spotify.com/track/47nMVODSR4kwKcufoo22wH
120,Party Girl,StaySolidRocky,177629,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
121,ROXANNE,Arizona Zervas,176223,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
122,Över dig,Newkid,174586,https://open.spotify.com/track/0BaPvhm5WVzIAsAEI0sbQQ
123,F.A.M.E (LeyLey),Dani M,172576,https://open.spotify.com/track/1ryW1LqC5VMFJFXd4wIrpf
124,Godzilla (feat. Juice WRLD),Eminem,171465,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
125,Jag Vil Ha Dig,Ringnes-Ronny,171061,https://open.spotify.com/track/0IiWe6NRNBB7QbrCcgUCZX
126,Let Him Go,JUNG,171012,https://open.spotify.com/track/1cXLNDNwUjFB81anhcsDgo
127,lovely (with Khalid),Billie Eilish,169840,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
128,Goliat,Laleh,169489,https://open.spotify.com/track/7qA8S7mbV9uPy9rFprdN3C
129,Hotel Walls,Smith & Thell,169486,https://open.spotify.com/track/7MUUzpdrSa8UUEpyS1dGUq
130,Automat,Adel,169150,https://open.spotify.com/track/6maXhP8uAVeInx8Axmez0U
131,Say So (feat. Nicki Minaj),Doja Cat,167091,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
132,Hon dansar vidare i livet,Hov1,167026,https://open.spotify.com/track/1aEU7mcRDTYBB4ASpqbjYE
133,when the party's over,Billie Eilish,167010,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
134,Första Klass,Einár,166893,https://open.spotify.com/track/74TEgDsFaq0zMttq1dVuYK
135,Life Is Good (feat. Drake),Future,164873,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
136,Without You (feat. Sandro Cavazza),Avicii,164843,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
137,SOS (feat. Aloe Blacc),Avicii,164657,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
138,I Don't Care (with Justin Bieber),Ed Sheeran,163938,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
139,End of Time,K-391,163409,https://open.spotify.com/track/67O8CWXxPsfz8orZVGMQwf
140,Solen har gått ner,Veronica Maggio,162794,https://open.spotify.com/track/10ylH6P7Lk02UVQbHSLSuJ
141,Sand,Molly Sandén,161414,https://open.spotify.com/track/7CYKovD8hNKg0w902IASMi
142,Wake Me Up,Avicii,160986,https://open.spotify.com/track/3B0irDyS69y5eAz15xV2Ee
143,This City,Sam Fischer,160942,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
144,Svag,Newkid,158405,https://open.spotify.com/track/66K9hoI6zNkxpTx88jFIvW
145,"Du Med Dig, Akustisk",Miriam Bryant,157799,https://open.spotify.com/track/1AfSccccjs0qPxCeuKAbEr
146,Ballin' (with Roddy Ricch),Mustard,157411,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
147,Forever Yours - Avicii Tribute,Kygo,157144,https://open.spotify.com/track/3o1CUVeHIid49sabk6A6Nf
148,Saved My Life,Sia,155569,https://open.spotify.com/track/5cpw6QKJcoXzpNBLNUJx2i
149,Alla våra smeknamn,Molly Sandén,155089,https://open.spotify.com/track/1yXRbopf6xxpwmbPfolBQo
150,Vi två,estraden,154720,https://open.spotify.com/track/2ijMtHHR50h8M951kZvYkR
151,All on my mind,Lil Gemi,153770,https://open.spotify.com/track/6PesFS7nL2btxhBiOAXLxS
152,Brave,Hanna Ferm,152000,https://open.spotify.com/track/7oNRF4LJHL5aC2zTU66UN1
153,"Mi Amor (Blåmärkshårt) [feat. Cherrie, Molly Sandén, STOR]",Miriam Bryant,151875,https://open.spotify.com/track/1vmQXaFNMnSEBLTobPwME5
154,Blåmärkshårt (Mi Amor),Miriam Bryant,151768,https://open.spotify.com/track/2qKtQuFukH2d0m3FNROcqH
155,Piga & dräng,Drängarna,150918,https://open.spotify.com/track/0fXANVK5oDCujoed5II6La
