,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
104,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)",Charlie Charles,362334,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
105,Polo nord - C+N Progressive Mix,Massimo Pericolo,361399,https://open.spotify.com/track/1Wbc0N0X1zkFqnKGcj8Quh
106,In peggio - prod. Strage,Dani Faiv,360209,https://open.spotify.com/track/36jzkozloE2nFefpcJUw32
107,La hit dell'estate,Shade,358179,https://open.spotify.com/track/443cnFF139Ql85enXOTWEu
108,Piccola Stella,Ultimo,356919,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
109,"SPORT + muscoli (RMX) (feat. Lazza, Paky, Luchè & Taxi B)",Marracash,356782,https://open.spotify.com/track/7srDOLMwjMC07Dzs7mqCnv
110,Margarita (con Marracash),Elodie,350705,https://open.spotify.com/track/6KfwIpX0Xo0lelmuUOnyZV
111,YOSHI (feat. Fabri Fibra) - prod. Strage,MACHETE,349342,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
112,È sempre bello,Coez,348067,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
113,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,347404,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
114,Soldi in Nero - feat. Sfera Ebbasta,Shiva,343940,https://open.spotify.com/track/1Xm2e1vDwOMeJJioWuG1s7
115,Lose Control,MEDUZA,336954,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
116,m12ano - feat. Mara Sattei,tha Supreme,336119,https://open.spotify.com/track/0LfMuWu6FKNSDHEoxHu9iK
117,Per Un Milione,Boomdabash,335873,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
118,Arrogante,Irama,334674,https://open.spotify.com/track/14lgKkkbNsJl9fItqnEfpV
119,Break My Heart,Dua Lipa,325843,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
