,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
148,Che Poi,Carl Brave,323515,https://open.spotify.com/track/55BfNKdOeu77gxPB0UGnAw
149,Stupid Love,Lady Gaga,322663,https://open.spotify.com/track/7yBbV2k2S2uhaQc24NF2xt
150,Soldi in Nero - feat. Sfera Ebbasta,Shiva,321372,https://open.spotify.com/track/1Xm2e1vDwOMeJJioWuG1s7
151,La vita breve dei coriandoli,Michele Bravi,321084,https://open.spotify.com/track/7ou1NrCbgAcaAMUF1tKmdT
152,D'estate non vale (feat. Ana Mena),Fred De Palma,321058,https://open.spotify.com/track/5IbiQAbMBe5T2K67mCAIx3
153,BIBERON (feat. DrefGold & ANNA),Dark Polo Gang,320527,https://open.spotify.com/track/6yPfQyMA9azhv5yRfu6P3V
154,Calmo,Shiva,320435,https://open.spotify.com/track/6A5qLjVbEC2vNlu17tsExI
155,Mon Fre - feat. Emis Killa,Shiva,317119,https://open.spotify.com/track/4dDMgEj5GpBTI1lvVlYPu7
156,90MIN,Salmo,314287,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
157,Nera,Irama,313738,https://open.spotify.com/track/6Lc0La3OwOmAouQjbID4uX
158,Life Is Good (feat. Drake),Future,313727,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
159,m12ano - feat. Mara Sattei,tha Supreme,311905,https://open.spotify.com/track/0LfMuWu6FKNSDHEoxHu9iK
160,Godzilla (feat. Juice WRLD),Eminem,311298,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
161,COSANOSTRA,Rosa Chemical,311192,https://open.spotify.com/track/0zpAbT2m7rRApSAmA2aNiD
162,Party Girl,StaySolidRocky,309785,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
163,LOVE BANDANA,Ketama126,308090,https://open.spotify.com/track/15hXSWGLcvtUZLtzCY7E0Q
164,SLATT,Rosa Chemical,306034,https://open.spotify.com/track/3WLqJsNIhXpbHvmGfs0iEI
165,Circles,Post Malone,304931,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
