,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
127,"Heartless (feat. Morgan Wallen)",Diplo,2105088,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
128,F.N,"Lil Tjay",2081309,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
129,Legends,"Juice WRLD",2077950,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
130,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",2076931,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
131,"I Fall Apart","Post Malone",2066032,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
132,"rockstar (feat. 21 Savage)","Post Malone",2061246,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
133,"The London (feat. J. Cole & Travis Scott)","Young Thug",2049388,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
134,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",2039167,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m
135,Dior,"Pop Smoke",2021971,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
136,"At Least For Now","Justin Bieber",2018728,https://open.spotify.com/track/6VLkgf5YmLixsabdqiCVGU
137,"I Don't Care (with Justin Bieber)","Ed Sheeran",2017834,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
138,"Is It True","Tame Impala",2000198,https://open.spotify.com/track/6RZmhpvukfyeSURhf4kZ0d
139,"Broke In A Minute","Tory Lanez",1994200,https://open.spotify.com/track/2ZrAjMSmlbDIil0JaVgTHh
140,VALENTINO,24kGoldn,1991602,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q
141,"7 rings","Ariana Grande",1990371,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
142,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",1988337,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
143,"One Man Band","Old Dominion",1975620,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR
144,"Beautiful Crazy","Luke Combs",1967744,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
145,"Lose Control",MEDUZA,1942071,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
146,"Whiskey Glasses","Morgan Wallen",1930119,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
147,"Beautiful People (feat. Khalid)","Ed Sheeran",1929813,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
148,"Without Me",Halsey,1923910,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
149,"Tomorrow's Dust","Tame Impala",1923808,https://open.spotify.com/track/666PdikRnUzdvjT9p5wWND
150,"Enemies (feat. DaBaby)","Post Malone",1910460,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
