,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
164,"XO Tour Llif3","Lil Uzi Vert",1660320,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
165,"Kacey Talk","YoungBoy Never Broke Again",1658894,https://open.spotify.com/track/1SF8piqsZWn86DajVKih8F
166,"White Christmas","Bing Crosby",1654550,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
167,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,1653504,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
168,"Everybody Dies In Their Nightmares",XXXTENTACION,1651899,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
169,Falling,"Trevor Daniel",1649987,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
170,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,1644124,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
171,"everything i wanted","Billie Eilish",1642793,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
172,"Don’t Stop (feat. Young Thug)","Megan Thee Stallion",1638838,https://open.spotify.com/track/0W7R5wlb4rjvowSPOY7c8m
173,"Head & Heart (feat. MNEK)","Joel Corry",1626367,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
174,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",1615922,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
175,"Dancing in My Room",347aidan,1611198,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX
176,"Take You Dancing","Jason Derulo",1610669,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
177,"I Should Probably Go To Bed","Dan + Shay",1610382,https://open.spotify.com/track/5ovVcYo2MvjVydFwFyaaqy
178,"Godzilla (feat. Juice WRLD)",Eminem,1609247,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
179,"Tongue Tied",Grouplove,1606651,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
180,"Deep End",Fousheé,1603345,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
181,"Intentions (feat. Quavo)","Justin Bieber",1593677,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
182,"The Less I Know The Better","Tame Impala",1584386,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
183,"Armed And Dangerous","Juice WRLD",1579893,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
184,"Spicy (feat. Post Malone)","Ty Dolla $ign",1577444,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
185,"safety net (feat. Ty Dolla $ign)","Ariana Grande",1566911,https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg
186,"What’s New","Megan Thee Stallion",1552594,https://open.spotify.com/track/3jRHehB5ulTMKfK5WaqDqc
